record_id,entity_id,entity_name,sector,asset_id,severity,category,opened_at,closed_at,escalated,disposition,investigation_notes,closure_time_minutes
ALT-0000001,CSE-001,Northern Grid Operator,Power,AST-001-01,CRITICAL,Unauthorized Access,2026-01-06T08:00:00,2026-01-06T08:00:45,false,FALSE_POSITIVE,Firewall rule reviewed; the source range belongs to the partner VPN.,0.75
ALT-0000002,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Policy Violation,2026-01-06T08:00:00,2026-01-06T13:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 001980),325.00
ALT-0000003,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Malware,2026-01-06T09:00:00,2026-01-06T09:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 001260),25.00
ALT-0000004,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Malware,2026-01-06T10:00:00,2026-01-06T10:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 002520),25.00
ALT-0000005,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Phishing,2026-01-06T11:00:00,2026-01-06T13:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 001800),145.00
ALT-0000006,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Unauthorized Access,2026-01-06T12:00:00,2026-01-06T16:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 001080),265.00
ALT-0000007,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Unauthorized Access,2026-01-06T13:00:00,2026-01-06T17:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 002340),265.00
ALT-0000008,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Data Exfiltration,2026-01-06T14:00:00,2026-01-06T20:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 001620),385.00
ALT-0000009,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Denial of Service,2026-01-06T16:00:00,2026-01-06T17:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 002160),85.00
ALT-0000010,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Vulnerability Exploit,2026-01-06T17:00:00,2026-01-06T20:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 001440),205.00
ALT-0000011,CSE-001,Northern Grid Operator,Power,AST-001-01,LOW,Vulnerability Exploit,2026-01-06T18:00:00,2026-01-06T21:25:00,true,TRUE_POSITIVE,Reviewed proxy logs for the source host; traffic consistent with a scheduled backup job. (case 002700),205.00
ALT-0000012,CSE-001,Northern Grid Operator,Power,AST-001-12,CRITICAL,Policy Violation,2026-01-07T08:23:00,2026-01-07T15:47:00,true,BENIGN,Patched the affected service and confirmed the exploit path is closed. (case 002519),444.00
